All,Все,module,Magento_AdminGws
None,Нічого,module,Magento_AdminGws
"Allowed Scopes","Дозволені межі",module,Magento_AdminGws
"You need more permissions to delete this item(s): %1.","Вам потрібно більше дозволів для видалення таких елементів: %1.",module,Magento_AdminGws
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.",module,Magento_AdminGws
"Please assign this entity to a store view.","Будь ласка, призначте цей об'єкт до виду крамниці.",module,Magento_AdminGws
"You can create an order in an active store only.","You can create an order in an active store only.",module,Magento_AdminGws
"Please assign this item to a store view.","Будь ласка, призначте цей елемент до виду крамниці.",module,Magento_AdminGws
"You need more permissions to save this item.","Вам потрібно більше дозволів для збереження цього елементу.",module,Magento_AdminGws
"You need more permissions to delete this item.","Вам потрібно більше дозволів для видалення цього елементу.",module,Magento_AdminGws
"You need more permissions to view this item.","Вам потрібно більше дозволів для перегляду цього елементу.",module,Magento_AdminGws
"Please specify at least one website or one store group.","Будь ласка, вкажіть принаймні один веб-сайт або одну групу крамниць.",module,Magento_AdminGws
"You need more permissions to set All Scopes to a Role.","Вам потрібно мати більше прав для встановлення усіх меж для ролі.",module,Magento_AdminGws
"Incorrect website ID: %1","Невірний ID веб-сайту: %1",module,Magento_AdminGws
"You need more permissions to access website ""%1"".","Вам потрібно більше дозволів для доступу до веб-сайту ""%1"".",module,Magento_AdminGws
"Incorrect store ID: %1","Невірний ID крамниці: %1",module,Magento_AdminGws
"You need more permissions to save this setting.","Вам потрібно більше дозволів щоб зберегти це налаштування.",module,Magento_AdminGws
"Role Scopes","Межі застосування ролі",module,Magento_AdminGws
Custom,Користувацький,module,Magento_AdminGws
"Read Details","Читати подробиці",module,Magento_AdminNotification
"Mark as Read","Позначити як прочитане",module,Magento_AdminNotification
"Are you sure?","Ви впевнені?",module,Magento_AdminNotification
Remove,Вилучити,module,Magento_AdminNotification
"Messages Inbox","Вхідні повідомлення",module,Magento_AdminNotification
"You have %1 new system messages","У вас є %1 нових системних повідомлень",module,Magento_AdminNotification
"You have %1 new system message","У вас є %1 новe системнe повідомлення",module,Magento_AdminNotification
"Incoming Message","Вхідне повідомлення",module,Magento_AdminNotification
close,закрити,module,Magento_AdminNotification
"Read details","Read details",module,Magento_AdminNotification
Notifications,Сповіщення,module,Magento_AdminNotification
"The message has been marked as Read.","Повідомлення було позначено як прочитане.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","Ми не змогли позначити повідомлення як Прочитане через помилку.",module,Magento_AdminNotification
"Please select messages.","Будь ласка, виберіть повідомлення.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","Всього %1 запис (-ів) позначено як прочитані.",module,Magento_AdminNotification
"The message has been removed.","Повідомлення було видалено.",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.","Ми не змогли видалити повідомлення через помилку.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","Загалом %1 запис(ів) було видалено.",module,Magento_AdminNotification
"1 Hour","1 година",module,Magento_AdminNotification
"2 Hours","2 години",module,Magento_AdminNotification
"6 Hours","6 годин",module,Magento_AdminNotification
"12 Hours","12 годин",module,Magento_AdminNotification
"24 Hours","24 години",module,Magento_AdminNotification
critical,критичне,module,Magento_AdminNotification
